Year,From_Cluster,To_Cluster,From_Time,To_Time,From_Lat,From_Lon,To_Lat,To_Lon,Bearing_Degrees,Angle_wrt_X_Axis,Direction
1980,1,2,1980-02-22 03:20:55.800000+00:00,1980-07-29 18:44:24+00:00,30.581090909090907,88.739,29.422428571428572,80.871,262.33,187.67,W
1980,2,3,1980-07-29 18:44:24+00:00,1980-11-18 13:46:22+00:00,29.422428571428572,80.871,29.575499999999998,85.19749999999999,86.61,3.39,E
1984,1,2,1984-03-14 01:32:13.960000+00:00,1984-05-19 06:36:24.780000+00:00,29.265,80.9905,29.32575,81.69475,84.18,5.82,E
1984,2,3,1984-05-19 06:36:24.780000+00:00,1984-06-09 23:07:46.050000+00:00,29.32575,81.69475,26.8685,92.5735,101.75,348.25,E
1985,1,2,1985-06-17 04:24:05.140000+00:00,1985-10-12 18:22:35.880000+00:00,31.563333333333333,82.303,27.1262,92.4586,114.06,335.94,SE
1985,2,3,1985-10-12 18:22:35.880000+00:00,1985-12-08 13:35:00.730000+00:00,27.1262,92.4586,30.84925,86.537,307.12,142.88,NW
1986,1,2,1986-01-25 21:30:17.360000+00:00,1986-05-22 14:44:54.580000+00:00,31.594333333333335,85.06833333333333,31.636499999999998,91.1425,87.94,2.06,E
1986,2,3,1986-05-22 14:44:54.580000+00:00,1986-06-23 17:19:29.650000+00:00,31.636499999999998,91.1425,31.176000000000002,86.78866666666666,264.07,185.93,W
1987,1,2,1987-01-19 07:46:24.490000+00:00,1987-01-24 10:34:26.160000+00:00,28.314,83.62700000000001,27.561333333333334,92.83833333333332,93.11,356.89,E
1987,2,3,1987-01-24 10:34:26.160000+00:00,1987-04-23 09:05:56.920000+00:00,27.561333333333334,92.83833333333332,28.1055,86.9205,277.31,172.69,W
1987,3,4,1987-04-23 09:05:56.920000+00:00,1987-06-06 03:14:24.490000+00:00,28.1055,86.9205,30.5125,79.2345,291.61,158.39,W
1987,4,5,1987-06-06 03:14:24.490000+00:00,1987-09-25 23:16:30.700000+00:00,30.5125,79.2345,29.812714285714286,90.37371428571429,91.34,358.66,E
1988,1,2,1988-01-23 15:37:29.390000+00:00,1988-04-11 12:11:31.030000+00:00,29.239599999999996,81.47819999999999,27.6935,85.75399999999999,111.33,338.67,E
1988,2,3,1988-04-11 12:11:31.030000+00:00,1988-04-25 16:04:02.760000+00:00,27.6935,85.75399999999999,26.7214,86.6344,140.95,309.05,SE
1988,3,4,1988-04-25 16:04:02.760000+00:00,1988-05-26 16:30:05.770000+00:00,26.7214,86.6344,27.295,88.4255,69.82,20.18,E
1989,1,2,1989-02-03 22:10:01.650000+00:00,1989-02-04 13:46:08.060000+00:00,30.191333333333333,90.057,30.0715,90.0775,171.58,278.42,S
1989,2,3,1989-02-04 13:46:08.060000+00:00,1989-02-28 00:26:41.180000+00:00,30.0715,90.0775,26.966,92.719,142.59,307.41,SE
1989,3,4,1989-02-28 00:26:41.180000+00:00,1989-03-01 22:52:49.570000+00:00,26.966,92.719,28.096,83.991,280.31,169.69,W
1990,1,2,1990-02-18 18:12:47.270000+00:00,1990-05-13 04:43:48.990000+00:00,29.1995,90.0725,32.345,92.82300000000001,36.22,53.78,NE
1990,2,3,1990-05-13 04:43:48.990000+00:00,1990-05-20 09:10:02.320000+00:00,32.345,92.82300000000001,28.28533333333333,83.16000000000001,246.55,203.45,SW
1990,3,4,1990-05-20 09:10:02.320000+00:00,1990-09-02 06:29:24.830000+00:00,28.28533333333333,83.16000000000001,26.631999999999998,92.626,98.92,351.08,E
1990,4,5,1990-09-02 06:29:24.830000+00:00,1990-10-14 09:52:41.010000+00:00,26.631999999999998,92.626,30.777250000000002,86.30850000000001,308.29,141.71,NW
1991,1,2,1991-02-12 14:02:56.300000+00:00,1991-05-18 04:52:19.070000+00:00,30.602999999999998,79.45533333333333,31.6645,80.092,27.01,62.99,NE
1991,2,3,1991-05-18 04:52:19.070000+00:00,1991-05-20 00:20:39.920000+00:00,31.6645,80.092,31.19033333333333,86.70366666666666,93.07,356.93,E
1991,3,4,1991-05-20 00:20:39.920000+00:00,1991-05-26 05:29:14.870000+00:00,31.19033333333333,86.70366666666666,29.31833333333333,80.30566666666667,252.92,197.08,W
1991,4,5,1991-05-26 05:29:14.870000+00:00,1991-08-16 01:23:27.540000+00:00,29.31833333333333,80.30566666666667,30.7875,78.7425,317.75,132.25,NW
1992,1,2,1992-03-02 14:48:18.150000+00:00,1992-07-30 09:07:39.190000+00:00,30.7365,78.51249999999999,29.865,90.29016666666666,91.9,358.1,E
1992,2,3,1992-07-30 09:07:39.190000+00:00,1992-10-31 01:56:05.240000+00:00,29.865,90.29016666666666,27.645000000000003,93.005,132.35,317.65,SE
1993,1,2,1993-01-18 13:28:06.620000+00:00,1993-01-18 15:35:32.060000+00:00,30.86925,90.32975,31.1265,90.018,313.99,136.01,NW
1993,2,3,1993-01-18 15:35:32.060000+00:00,1993-03-20 21:26:39.450000+00:00,31.1265,90.018,29.0425,87.366,228.43,221.57,SW
1993,3,4,1993-03-20 21:26:39.450000+00:00,1993-04-12 00:57:57.980000+00:00,29.0425,87.366,28.256999999999998,82.831,259.93,190.07,W
1993,4,5,1993-04-12 00:57:57.980000+00:00,1993-06-23 17:19:26.750000+00:00,28.256999999999998,82.831,27.675,92.777,91.44,358.56,E
1993,5,6,1993-06-23 17:19:26.750000+00:00,1993-07-03 02:00:22.230000+00:00,27.675,92.777,28.423000000000002,86.737,279.4,170.6,W
1993,6,7,1993-07-03 02:00:22.230000+00:00,1993-07-06 20:07:49.880000+00:00,28.423000000000002,86.737,31.8765,81.9755,311.17,138.83,NW
1993,7,8,1993-07-06 20:07:49.880000+00:00,1993-09-12 08:03:36.870000+00:00,31.8765,81.9755,31.176000000000002,83.73733333333332,114.54,335.46,SE
1993,8,9,1993-09-12 08:03:36.870000+00:00,1993-10-20 07:23:38.640000+00:00,31.176000000000002,83.73733333333332,28.749499999999998,82.268,208.05,241.95,SW
1995,1,2,1995-01-19 06:33:15.330000+00:00,1995-02-02 10:40:31.280000+00:00,28.599,83.418,30.126333333333335,88.12275,68.43,21.57,E
1995,2,3,1995-02-02 10:40:31.280000+00:00,1995-03-26 18:22:35.180000+00:00,30.126333333333335,88.12275,27.421000000000003,92.27633333333334,125.6,324.4,SE
1995,3,4,1995-03-26 18:22:35.180000+00:00,1995-04-17 01:32:45.040000+00:00,27.421000000000003,92.27633333333334,29.784333333333333,81.502,286.57,163.43,W
1995,4,5,1995-04-17 01:32:45.040000+00:00,1995-06-28 21:46:52.200000+00:00,29.784333333333333,81.502,31.113,86.786,72.41,17.59,E
1995,5,6,1995-06-28 21:46:52.200000+00:00,1995-08-07 00:12:21.770000+00:00,31.113,86.786,29.976,81.64099999999999,256.93,193.07,W
1996,1,2,1996-01-11 15:29:53.540000+00:00,1996-01-23 17:34:41+00:00,28.92,86.423,30.58966666666667,79.236,286.75,163.25,W
1996,2,3,1996-01-23 17:34:41+00:00,1996-02-18 19:19:24.080000+00:00,30.58966666666667,79.236,30.11366666666667,84.01299999999999,95.38,354.62,E
1996,3,4,1996-02-18 19:19:24.080000+00:00,1996-03-12 21:20:15.270000+00:00,30.11366666666667,84.01299999999999,30.086392156862743,88.12772549019608,89.41,0.59,E
1996,4,5,1996-03-12 21:20:15.270000+00:00,1996-05-21 00:35:44.410000+00:00,30.086392156862743,88.12772549019608,29.067999999999998,91.8805,106.4,343.6,E
1996,5,6,1996-05-21 00:35:44.410000+00:00,1996-05-21 19:51:38.140000+00:00,29.067999999999998,91.8805,26.9152,92.4302,167.16,282.84,S
1996,6,7,1996-05-21 19:51:38.140000+00:00,1996-07-03 06:44:45.550000+00:00,26.9152,92.4302,30.1605,88.1835,312.02,137.98,NW
1996,7,8,1996-07-03 06:44:45.550000+00:00,1996-07-10 17:41:35.230000+00:00,30.1605,88.1835,29.338,81.67250000000001,263.35,186.65,W
