index,lat,lon,closest_plate,min_distance_km,distance_to_EU-IN_km,distance_to_IN-EU_km
0,27.319,91.51,EU-IN,33.12255827368228,33.12255827368228,536.8609401700215
1,30.686,83.769,EU-IN,316.9795371733837,316.9795371733837,1348.5074590619854
2,29.518,81.471,EU-IN,90.78184537121582,90.78184537121582,1545.4482124552012
3,27.272,91.455,EU-IN,28.208625086110423,28.208625086110423,539.7792617508014
4,27.352,91.435,EU-IN,37.184856851240006,37.184856851240006,545.126615861436
5,30.762,83.448,EU-IN,312.06211594880523,312.06211594880523,1380.1879678530079
6,27.683,90.446,EU-IN,81.38878828173624,81.38878828173624,649.3821595858345
7,27.647,92.823,EU-IN,61.56873542237795,61.56873542237795,431.69116596176815
8,26.922,89.178,EU-IN,10.071478519785181,10.071478519785181,740.7623362922536
9,29.49,86.008,EU-IN,259.8418168893181,259.8418168893181,1117.7257503112305
10,29.643,84.585,EU-IN,243.8438924718876,243.8438924718876,1256.572916141196
11,27.262,91.417,EU-IN,27.35645997811757,27.35645997811757,542.7901554204964
12,29.996,79.849,EU-IN,87.6571546840398,87.6571546840398,1710.6144328531218
13,30.888,83.49,EU-IN,326.4916248816993,326.4916248816993,1378.4632194721921
14,27.289,91.526,EU-IN,29.79139624518018,29.79139624518018,534.0804126952846
15,27.305,91.491,EU-IN,31.68462273089714,31.68462273089714,537.9644942191067
16,30.879,79.057,EU-IN,118.486158429808,118.486158429808,1798.7081247638932
17,27.31,91.489,EU-IN,32.25450911974158,32.25450911974158,538.3667268589002
18,27.332,91.437,EU-IN,34.95986876189137,34.95986876189137,544.0584219708081
19,30.945,85.81,EU-IN,415.8935437862216,415.8935437862216,1162.1450709234387
20,31.158,85.902,EU-IN,440.6422076399316,440.6422076399316,1159.1475033356444
21,30.794,83.485,EU-IN,316.7215975264878,316.7215975264878,1377.2462264116873
22,30.996,86.314,EU-IN,429.24934729751317,429.24934729751317,1116.6385474089464
23,30.634,83.734,EU-IN,310.34091206843834,310.34091206843834,1350.9397071436128
