Month,Year,Current_Source_Sector,Current_Angle,Current_Bearing,Lag1_Sector,Lag1_Angle,Lag1_DaysAgo,Lag2_Sector,Lag2_Angle,Lag2_DaysAgo,Lag3_Sector,Lag3_Angle,Lag3_DaysAgo,Target_Sector
12,1982,329,250.21,199.79,329,329.91,331,291,3.89,762,289,187.99,874,289
6,1985,311,164.39,285.61,289,250.21,908,329,329.91,1240,291,3.89,1671,329
10,1985,329,299.51,150.49,329,164.39,108,289,250.21,1017,329,329.91,1349,290
10,1985,290,347.82,102.18,290,299.51,8,329,164.39,117,289,250.21,1026,255
12,1985,255,142.88,307.12,255,347.82,56,290,299.51,65,329,164.39,174,312
5,1986,331,2.19,87.81,312,142.88,165,255,347.82,221,290,299.51,230,334
6,1986,334,185.93,264.07,334,2.19,32,312,142.88,197,255,347.82,253,332
1,1987,270,356.89,93.11,332,185.93,214,334,2.19,246,312,142.88,411,255
4,1987,255,172.69,277.31,255,356.89,88,332,185.93,303,334,2.19,335,272
6,1987,272,158.39,291.61,272,172.69,43,255,356.89,132,332,185.93,347,308
9,1987,308,358.66,91.34,308,158.39,111,272,172.69,155,255,356.89,244,294
1,1988,294,179.76,270.24,294,358.66,119,308,158.39,231,272,172.69,275,289
3,1988,289,285.98,164.02,289,179.76,49,294,358.66,169,308,158.39,281,289
4,1988,289,340.84,109.16,289,285.98,29,289,179.76,78,294,358.66,198,251
4,1988,251,309.05,140.95,251,340.84,14,289,285.98,43,289,179.76,93,232
5,1988,232,20.18,69.82,232,309.05,31,251,340.84,45,289,285.98,74,253
2,1989,314,307.22,142.78,253,20.18,277,232,309.05,308,251,340.84,322,235
3,1989,235,169.75,280.25,235,307.22,1,253,20.18,279,232,309.05,310,270
5,1990,294,53.93,36.07,270,169.75,437,235,307.22,439,253,20.18,716,355
5,1990,355,203.48,246.52,355,53.93,7,270,169.75,444,235,307.22,446,270
9,1990,270,351.08,98.92,270,203.48,104,355,53.93,112,270,169.75,549,235
10,1990,235,141.71,308.29,235,351.08,42,270,203.48,147,355,53.93,154,312
5,1991,308,62.99,27.01,312,141.71,215,235,351.08,257,270,203.48,362,328
5,1991,328,356.93,93.07,328,62.99,1,312,141.71,217,235,351.08,259,332
5,1991,332,197.08,252.92,332,356.93,6,328,62.99,8,312,141.71,223,288
8,1991,288,132.25,317.75,288,197.08,81,332,356.93,88,328,62.99,89,307
4,1992,307,14.32,75.68,307,132.25,229,288,197.08,311,332,356.93,317,330
7,1992,330,342.02,107.98,330,14.32,119,307,132.25,349,288,197.08,431,294
10,1992,294,317.65,132.35,294,342.02,92,330,14.32,212,307,132.25,442,256
3,1993,314,216.95,233.05,256,317.65,140,294,342.02,233,330,14.32,353,292
4,1993,292,190.07,259.93,292,216.95,22,256,317.65,162,294,342.02,255,270
6,1993,270,358.56,91.44,270,190.07,72,292,216.95,94,256,317.65,235,255
7,1993,255,170.6,279.4,255,358.56,9,270,190.07,82,292,216.95,104,272
7,1993,272,197.35,252.65,272,170.6,2,255,358.56,12,270,190.07,84,251
7,1993,251,123.42,326.58,251,197.35,0,272,170.6,3,255,358.56,13,329
9,1993,329,335.46,114.54,329,123.42,67,251,197.35,68,272,170.6,71,330
10,1993,330,241.95,208.05,330,335.46,37,329,123.42,105,251,197.35,106,269
2,1995,270,21.57,68.43,269,241.95,470,330,335.46,508,329,123.42,575,313
3,1995,313,19.85,70.15,313,21.57,46,269,241.95,517,330,335.46,555,314
3,1995,314,222.86,227.14,314,19.85,2,313,21.57,49,269,241.95,520,273
3,1995,273,343.0,107.0,273,222.86,2,314,19.85,5,313,21.57,52,255
4,1995,255,163.51,286.49,255,343.0,21,273,222.86,23,314,19.85,26,289
6,1995,289,16.85,73.15,289,163.51,72,255,343.0,94,273,222.86,96,332
1,1996,272,163.18,286.82,332,16.85,208,289,163.51,281,255,343.0,302,308
2,1996,308,354.47,95.53,308,163.18,26,332,16.85,234,289,163.51,307,310
2,1996,310,326.38,123.62,310,354.47,3,308,163.18,29,332,16.85,238,272
3,1996,272,71.42,18.58,272,326.38,19,310,354.47,23,308,163.18,49,313
3,1996,313,272.36,177.64,313,71.42,10,272,326.38,30,310,354.47,33,253
5,1996,253,32.54,57.46,253,272.36,58,313,71.42,69,272,326.38,88,295
5,1996,295,282.84,167.16,295,32.54,0,253,272.36,59,313,71.42,69,235
7,1996,235,164.32,285.68,235,282.84,49,295,32.54,50,253,272.36,109,289
7,1996,289,24.35,65.65,289,164.32,13,235,282.84,63,295,32.54,63,332
9,1996,332,319.71,130.29,332,24.35,50,289,164.32,63,235,282.84,113,255
9,1996,255,162.79,287.21,255,319.71,2,332,24.35,52,289,164.32,65,307
11,1996,307,336.12,113.88,307,162.79,51,255,319.71,53,332,24.35,103,289
1,1997,313,313.47,136.53,289,336.12,81,307,162.79,133,255,319.71,135,293
1,1997,293,215.7,234.3,293,313.47,5,289,336.12,87,307,162.79,139,251
1,1997,251,241.68,208.32,251,215.7,0,293,313.47,6,289,336.12,88,251
3,1997,251,356.76,93.24,251,241.68,37,251,215.7,38,293,313.47,43,255
4,1997,255,152.4,297.6,255,356.76,25,251,241.68,63,251,215.7,64,312
4,1997,312,277.75,172.25,312,152.4,1,255,356.76,27,251,241.68,65,252
11,1997,252,357.25,92.75,252,277.75,234,312,152.4,235,255,356.76,261,252
2,1998,252,63.98,26.02,252,357.25,87,252,277.75,321,312,152.4,323,313
3,1998,313,171.21,278.79,313,63.98,24,252,357.25,112,252,277.75,346,327
6,1998,327,358.67,91.33,327,171.21,78,313,63.98,103,252,357.25,190,313
7,1998,313,297.97,152.03,313,358.67,31,327,171.21,110,313,63.98,135,254
7,1998,254,132.56,317.44,254,297.97,11,313,358.67,43,327,171.21,122,313
9,1998,313,330.96,119.04,313,132.56,68,254,297.97,80,313,358.67,112,255
3,1999,267,64.34,25.66,255,330.96,183,313,132.56,251,254,297.97,263,308
4,1999,308,13.94,76.06,308,64.34,4,255,330.96,187,313,132.56,256,355
9,1999,355,181.52,268.48,355,13.94,163,308,64.34,167,255,330.96,350,327
10,1999,327,356.72,93.28,327,181.52,20,355,13.94,183,308,64.34,188,313
12,1999,313,146.74,303.26,313,356.72,79,327,181.52,100,355,13.94,263,332
1,2000,255,87.0,3.0,332,146.74,14,313,356.72,94,327,181.52,115,355
1,2000,355,188.9,261.1,355,87.0,5,332,146.74,20,313,356.72,100,332
1,2000,332,321.12,128.88,332,188.9,14,355,87.0,20,332,146.74,34,255
1,2000,255,50.32,39.68,255,321.12,0,332,188.9,14,355,87.0,20,255
3,2000,255,143.32,306.68,255,50.32,60,255,321.12,60,332,188.9,75,313
4,2000,313,167.06,282.94,313,143.32,32,255,50.32,93,255,321.12,93,327
5,2000,327,317.95,132.05,327,167.06,7,313,143.32,40,255,50.32,101,289
5,2000,289,19.27,70.73,289,317.95,17,327,167.06,25,313,143.32,58,312
3,2001,308,11.41,78.59,312,19.27,305,289,317.95,323,327,167.06,331,331
4,2001,331,208.62,241.38,331,11.41,21,312,19.27,326,289,317.95,344,289
4,2001,289,354.8,95.2,289,208.62,13,331,11.41,34,312,19.27,339,272
12,2001,272,105.93,344.07,272,354.8,218,289,208.62,231,331,11.41,252,332
2,2002,293,82.14,7.86,332,105.93,65,272,354.8,283,289,208.62,296,333
4,2002,333,243.34,206.66,333,82.14,55,332,105.93,121,272,354.8,339,292
5,2002,292,107.83,342.17,292,243.34,30,333,82.14,86,332,105.93,152,312
6,2002,312,184.02,265.98,312,107.83,32,292,243.34,62,333,82.14,118,309
7,2002,309,337.31,112.69,309,184.02,42,312,107.83,74,292,243.34,104,252
8,2002,252,354.27,95.73,252,337.31,34,309,184.02,76,312,107.83,108,255
11,2002,255,130.84,319.16,255,354.27,88,252,337.31,122,309,184.02,164,294
1,2003,269,14.9,75.1,294,130.84,66,255,354.27,154,252,337.31,188,293
6,2003,293,153.82,296.18,293,14.9,132,294,130.84,198,255,354.27,286,312
11,2003,312,186.42,263.58,312,153.82,165,293,14.9,297,294,130.84,364,310
11,2003,310,283.68,166.32,310,186.42,6,312,153.82,172,293,14.9,304,270
12,2003,270,144.25,305.75,270,283.68,23,310,186.42,30,312,153.82,195,327
6,2004,270,18.33,71.67,327,144.25,191,270,283.68,215,310,186.42,221,293
7,2004,293,168.32,281.68,293,18.33,17,327,144.25,209,270,283.68,232,310
9,2004,310,170.05,279.95,310,168.32,56,293,18.33,73,327,144.25,265,309
10,2004,309,9.42,80.58,309,170.05,50,310,168.32,106,293,18.33,124,355
1,2005,289,351.42,98.58,355,9.42,87,309,170.05,137,310,168.32,193,255
2,2005,255,174.95,275.05,255,351.42,17,355,9.42,104,309,170.05,154,252
3,2005,252,130.59,319.41,252,174.95,26,255,351.42,43,355,9.42,130,310
5,2005,310,12.04,77.96,310,130.59,70,252,174.95,96,255,351.42,114,335
5,2005,335,183.97,266.03,335,12.04,14,310,130.59,85,252,174.95,111,333
9,2005,333,184.12,265.88,333,183.97,97,335,12.04,112,310,130.59,182,308
10,2005,308,341.31,108.69,308,184.12,54,333,183.97,152,335,12.04,167,289
12,2005,289,309.68,140.32,289,341.31,41,308,184.12,96,333,183.97,193,289
