year,sector_id,center_lat,center_lon,lat_min,lat_max,lon_min,lon_max,pred_count,actual_count,difference
2006,38,26.25,93.4375,25.0,27.5,91.25,95.625,2,3,-1
2006,43,28.75,80.3125,27.5,30.0,78.125,82.5,0,1,-1
2006,50,31.25,75.9375,30.0,32.5,73.75,78.125,0,1,-1
2006,51,31.25,80.3125,30.0,32.5,78.125,82.5,1,0,1
2006,52,31.25,84.6875,30.0,32.5,82.5,86.875,3,2,1
2006,53,31.25,89.0625,30.0,32.5,86.875,91.25,1,0,1
2007,37,26.25,89.0625,25.0,27.5,86.875,91.25,1,1,0
2007,38,26.25,93.4375,25.0,27.5,91.25,95.625,1,0,1
2007,43,28.75,80.3125,27.5,30.0,78.125,82.5,1,1,0
2007,45,28.75,89.0625,27.5,30.0,86.875,91.25,0,2,-2
2007,46,28.75,93.4375,27.5,30.0,91.25,95.625,1,1,0
2007,51,31.25,80.3125,30.0,32.5,78.125,82.5,1,1,0
2007,52,31.25,84.6875,30.0,32.5,82.5,86.875,2,1,1
2007,53,31.25,89.0625,30.0,32.5,86.875,91.25,1,1,0
2008,38,26.25,93.4375,25.0,27.5,91.25,95.625,2,1,1
2008,44,28.75,84.6875,27.5,30.0,82.5,86.875,1,2,-1
2008,45,28.75,89.0625,27.5,30.0,86.875,91.25,1,1,0
2008,46,28.75,93.4375,27.5,30.0,91.25,95.625,0,1,-1
2008,51,31.25,80.3125,30.0,32.5,78.125,82.5,3,0,3
2008,52,31.25,84.6875,30.0,32.5,82.5,86.875,0,2,-2
2008,53,31.25,89.0625,30.0,32.5,86.875,91.25,1,1,0
2009,38,26.25,93.4375,25.0,27.5,91.25,95.625,0,1,-1
2009,43,28.75,80.3125,27.5,30.0,78.125,82.5,1,0,1
2009,45,28.75,89.0625,27.5,30.0,86.875,91.25,1,0,1
2009,51,31.25,80.3125,30.0,32.5,78.125,82.5,1,0,1
2009,52,31.25,84.6875,30.0,32.5,82.5,86.875,0,2,-2
2010,38,26.25,93.4375,25.0,27.5,91.25,95.625,1,0,1
2010,43,28.75,80.3125,27.5,30.0,78.125,82.5,0,1,-1
2010,44,28.75,84.6875,27.5,30.0,82.5,86.875,1,0,1
2010,46,28.75,93.4375,27.5,30.0,91.25,95.625,0,1,-1
2010,51,31.25,80.3125,30.0,32.5,78.125,82.5,0,1,-1
2010,52,31.25,84.6875,30.0,32.5,82.5,86.875,1,2,-1
2010,53,31.25,89.0625,30.0,32.5,86.875,91.25,1,0,1
2010,54,31.25,93.4375,30.0,32.5,91.25,95.625,1,0,1
2011,37,26.25,89.0625,25.0,27.5,86.875,91.25,0,1,-1
2011,52,31.25,84.6875,30.0,32.5,82.5,86.875,1,0,1
